Česky,Anglicky,Výslovnost,Učebnice,Téma
máma,mother,/ˈmʌðə/,Project 4,Family
táta,father,/ˈfɑːðə/,Project 4,Family
sestra,sister,/ˈsɪstə/,Project 4,Family
bratr,brother,/ˈbrʌðə/,Project 4,Family
škola,school,/skuːl/,Project 4,School
učitel,teacher,/ˈtiːtʃə/,Project 4,School
tabule,whiteboard,/ˈwaɪtbɔːd/,Project 4,School
sešit,exercise book,/ˈeksəsaɪz bʊk/,Project 4,School
pes,dog,/dɒɡ/,Bridge 1,Animals
kočka,cat,/kæt/,Bridge 1,Animals
kůň,horse,/hɔːs/,Bridge 1,Animals
pták,bird,/bɜːd/,Bridge 1,Animals
